"Wallet statement"
"Address count with BTC balance:";2
"Starting balance 2009-01-03";0,00;BTC;0,00;USD
"Ending balance 2025-06-08";2000,08450987;BTC;211198923,82;USD
"Total received";2022,16340987;BTC
"Total sent";22,0789;BTC

"Start period";2009-01-03
"End period";2025-06-08
"Transactions involving the addresses:"
"Tx number";"Affected address/xpub";Effect;Ticker;"Amount fiat (USD)";"Asset rate (USD)";Date;"Transaction hash"
15;3AZHcgLnJL5C5xKo33mspyHpQX7x4H5bBw;15,00;BTC;994214,85;66280,99;"2024-05-20 13:14:28";5be887e26210a0d4c1a361a43579a9f322ceb52ff06295379a729d000cc21e69
16;3AZHcgLnJL5C5xKo33mspyHpQX7x4H5bBw;20,00;BTC;1325619,80;66280,99;"2024-05-20 13:01:24";c22920a633b68d83f91630f9de46b795757a019a7b3a3a19b2262fd40a41775c
17;3AZHcgLnJL5C5xKo33mspyHpQX7x4H5bBw;40,00;BTC;2651239,60;66280,99;"2024-05-20 13:01:24";86c6ffa17ae4e6a2a6b10ef043eb11685d92e1f085cab21a5908c5b82cc3ac75
18;3AZHcgLnJL5C5xKo33mspyHpQX7x4H5bBw;20,00;BTC;1325619,80;66280,99;"2024-05-20 13:01:24";64c4bc55a885690421962416f63c702c34454bbe8080e95cf29f9988f994f07b
19;3AZHcgLnJL5C5xKo33mspyHpQX7x4H5bBw;50,00;BTC;3314049,50;66280,99;"2024-05-20 12:38:41";3e263549be5e7feb962662ba279b559cb832fa304eb81beb11fda16bb71e8c10
20;3AZHcgLnJL5C5xKo33mspyHpQX7x4H5bBw;50,00;BTC;3314049,50;66280,99;"2024-05-20 11:53:15";f9183e05a632c2beda5a7ad1f945f287ec66ffc9c57e1482c7c59dfc7d0b3d60
21;3AZHcgLnJL5C5xKo33mspyHpQX7x4H5bBw;50,00;BTC;3314049,50;66280,99;"2024-05-20 11:47:24";a3f1817b2d2b930e416efabf6e557be033eb330a680eecddaa71fc487c8b3071
22;3AZHcgLnJL5C5xKo33mspyHpQX7x4H5bBw;50,00;BTC;3314049,50;66280,99;"2024-05-20 11:42:39";e7a4a7b973b822030a98c6eb1b717f848d68d506c6c07720c4f1d9a1cc00f7c2
23;3AZHcgLnJL5C5xKo33mspyHpQX7x4H5bBw;100,00;BTC;6628099,00;66280,99;"2024-05-20 09:32:00";bdceabe6fbb7809dcfef5170a3ef087c1b294e1b8376ad0a02fa51cfa1037995
24;3AZHcgLnJL5C5xKo33mspyHpQX7x4H5bBw;150,00;BTC;9942148,50;66280,99;"2024-05-20 09:11:20";35ad24f8ac40b52f87ccbb7fd586e8f82b298e206d48f6fa089c96ed3ba1a629
25;3AZHcgLnJL5C5xKo33mspyHpQX7x4H5bBw;200,00;BTC;13256198,00;66280,99;"2024-05-20 08:35:49";704177af30305903bb114f857420700e55418146aefa8974031d3ee15a7cee47
26;3AZHcgLnJL5C5xKo33mspyHpQX7x4H5bBw;200,00;BTC;13256198,00;66280,99;"2024-05-20 08:25:52";ec2edc64b1ccce9a26de6004342d841ce83fade3981a3d70ed1b4f8a4a9ce5f6
27;3AZHcgLnJL5C5xKo33mspyHpQX7x4H5bBw;302,47535184;BTC;20082545,49;66393,99;"2024-05-16 18:37:46";4e157cc5930dc294d77ae7ffdafa5f34d2c8176e505564632ca8e1aa6e80d6b5
28;3AZHcgLnJL5C5xKo33mspyHpQX7x4H5bBw;430,88190188;BTC;26438051,74;61358,00;"2024-05-09 10:19:14";4a5520f960dc5c01cf2060076ad4ff34ebff06cacbe4d0f1d9a7d52073d79fd0
29;3AZHcgLnJL5C5xKo33mspyHpQX7x4H5bBw;-0,0776;BTC;-4754,01;61262,99;"2024-04-18 12:47:15";db6b76fba53347bddaaa23d19f631f3fe60937a2a8a60606643389652d533206
30;3AZHcgLnJL5C5xKo33mspyHpQX7x4H5bBw;0,0777;BTC;4760,13;61262,99;"2024-04-18 10:00:08";8a1192a1970de656204c61de5a875635d603ee6a4c689d1405a9bffd425b9bae
